week_index,week_label,sku_id,units_sold,search_index,housing_permits,metro,scenario_type,sales_velocity_4w,sales_velocity_1w,search_velocity_4w,search_velocity_1w,permit_velocity_4w,rolling_7w_avg_sales,surge_score
19,W-84,PB-BLANKET-42,122,9.0,100,Los Angeles,A,-5.1,-6.2,-22.9,-30.8,0.0,126.0,0.0
20,W-83,PB-BLANKET-42,119,13.0,100,Los Angeles,A,-5.2,-2.5,18.2,44.4,0.0,125.9,6.1
21,W-82,PB-BLANKET-42,131,12.5,100,Los Angeles,A,4.2,10.1,6.6,-3.8,0.0,126.6,3.5
22,W-81,PB-BLANKET-42,117,10.7,100,Los Angeles,A,-6.8,-10.7,-9.9,-14.4,0.0,124.1,0.0
23,W-80,PB-BLANKET-42,126,9.8,100,Los Angeles,A,3.1,7.7,-13.3,-8.4,0.0,125.3,0.9
24,W-79,PB-BLANKET-42,115,13.8,100,Los Angeles,A,-6.7,-8.7,20.0,40.8,0.0,122.9,6.7
25,W-78,PB-BLANKET-42,128,10.7,100,Los Angeles,A,4.7,11.3,-8.5,-22.5,0.0,122.6,1.4
26,W-77,PB-BLANKET-42,118,9.5,100,Los Angeles,A,-2.9,-7.8,-15.6,-11.2,0.0,122.0,0.0
27,W-76,PB-BLANKET-42,125,9.5,100,Los Angeles,A,2.7,5.9,-13.2,0.0,0.0,122.9,0.8
28,W-75,PB-BLANKET-42,129,13.2,100,Los Angeles,A,6.2,3.2,21.4,38.9,0.0,122.6,9.0
29,W-74,PB-BLANKET-42,120,12.0,100,Los Angeles,A,-4.0,-7.0,11.9,-9.1,0.0,123.0,4.0
30,W-73,PB-BLANKET-42,128,13.0,100,Los Angeles,A,4.1,6.7,17.6,8.3,0.0,123.3,7.1
31,W-72,PB-BLANKET-42,134,12.6,100,Los Angeles,A,6.8,4.7,5.7,-3.1,0.0,126.0,3.9
32,W-71,PB-BLANKET-42,115,11.7,100,Los Angeles,A,-10.0,-14.2,-7.9,-7.1,0.0,124.1,0.0
33,W-70,PB-BLANKET-42,121,13.9,100,Los Angeles,A,-2.6,5.2,12.8,18.8,0.0,124.6,4.3
34,W-69,PB-BLANKET-42,125,10.9,100,Los Angeles,A,0.4,3.3,-14.8,-21.6,0.0,124.6,0.1
35,W-68,PB-BLANKET-42,121,11.8,100,Los Angeles,A,-2.2,-3.2,-3.9,8.3,0.0,123.4,0.0
36,W-67,PB-BLANKET-42,132,13.1,100,Los Angeles,A,9.5,9.1,8.5,11.0,0.0,125.1,5.7
37,W-66,PB-BLANKET-42,124,12.1,100,Los Angeles,A,-0.6,-6.1,-2.6,-7.6,0.0,124.6,0.0
38,W-65,PB-BLANKET-42,133,13.3,100,Los Angeles,A,6.0,7.3,11.1,9.9,0.0,124.4,5.5
39,W-64,PB-BLANKET-42,118,11.9,100,Los Angeles,A,-7.5,-11.3,-5.4,-10.5,0.0,124.9,0.0
40,W-63,PB-BLANKET-42,122,12.5,100,Los Angeles,A,-3.7,3.4,-0.8,5.0,0.0,125.0,0.0
41,W-62,PB-BLANKET-42,120,9.2,100,Los Angeles,A,-3.4,-1.6,-26.1,-26.4,0.0,124.3,0.0
42,W-61,PB-BLANKET-42,121,10.1,100,Los Angeles,A,-1.8,0.8,-13.9,9.8,0.0,124.3,0.0
43,W-60,PB-BLANKET-42,126,10.4,100,Los Angeles,A,4.8,4.1,-4.8,3.0,0.0,123.4,1.4
44,W-59,PB-BLANKET-42,115,9.4,100,Los Angeles,A,-5.9,-8.7,-10.9,-9.6,0.0,122.1,0.0
45,W-58,PB-BLANKET-42,130,10.2,100,Los Angeles,A,7.9,13.0,4.3,8.5,0.0,121.7,3.8
46,W-57,PB-BLANKET-42,126,9.5,100,Los Angeles,A,2.4,-3.1,-5.2,-6.9,0.0,122.9,0.7
47,W-56,PB-BLANKET-42,119,10.4,100,Los Angeles,A,-4.2,-5.6,5.3,9.5,0.0,122.4,1.8
48,W-55,PB-BLANKET-42,125,12.2,100,Los Angeles,A,2.0,5.0,23.5,17.3,0.0,123.1,8.4
49,W-54,PB-BLANKET-42,120,10.8,100,Los Angeles,A,-4.0,-4.0,2.1,-11.5,0.0,123.0,0.7
50,W-53,PB-BLANKET-42,123,10.9,100,Los Angeles,A,0.4,2.5,1.6,0.9,0.0,122.6,0.7
51,W-52,PB-BLANKET-42,121,10.0,100,Los Angeles,A,-0.6,-1.6,-9.7,-8.3,0.0,123.4,0.0
52,W-51,PB-BLANKET-42,131,10.3,100,Los Angeles,A,7.2,8.3,-6.2,3.0,0.0,123.6,2.2
53,W-50,PB-BLANKET-42,127,13.7,100,Los Angeles,A,2.6,-3.1,30.5,33.0,0.0,123.7,10.9
54,W-49,PB-BLANKET-42,129,12.2,100,Los Angeles,A,2.8,1.6,8.7,-10.9,0.0,125.1,3.7
55,W-48,PB-BLANKET-42,120,12.0,100,Los Angeles,A,-5.5,-7.0,3.9,-1.6,0.0,124.4,1.3
56,W-47,PB-BLANKET-42,124,9.9,100,Los Angeles,A,-2.2,3.3,-17.8,-17.5,0.0,125.0,0.0
57,W-46,PB-BLANKET-42,134,12.6,100,Los Angeles,A,7.2,8.1,5.4,27.3,0.0,126.6,4.0
58,W-45,PB-BLANKET-42,125,9.8,100,Los Angeles,A,-1.4,-6.7,-16.1,-22.2,0.0,127.1,0.0
59,W-44,PB-BLANKET-42,120,10.9,100,Los Angeles,A,-4.6,-4.0,-1.6,11.2,0.0,125.6,0.0
60,W-43,PB-BLANKET-42,124,13.9,100,Los Angeles,A,-1.4,3.3,28.7,27.5,0.0,125.1,9.6
61,W-42,PB-BLANKET-42,122,12.2,100,Los Angeles,A,-3.0,-1.6,3.4,-12.2,0.0,124.1,1.1
62,W-41,PB-BLANKET-42,122,11.8,100,Los Angeles,A,-0.6,0.0,0.9,-3.3,0.0,124.4,0.3
63,W-40,PB-BLANKET-42,125,12.4,100,Los Angeles,A,2.5,2.5,1.6,5.1,0.0,124.6,1.3
64,W-39,PB-BLANKET-42,124,13.2,100,Los Angeles,A,0.6,-0.8,5.0,6.5,0.0,123.1,1.8
65,W-38,PB-BLANKET-42,128,12.9,100,Los Angeles,A,3.9,3.2,4.0,-2.3,0.0,123.6,2.5
66,W-37,PB-BLANKET-42,132,10.1,100,Los Angeles,A,5.8,3.1,-19.7,-21.7,0.0,125.3,1.7
67,W-36,PB-BLANKET-42,132,9.2,100,Los Angeles,A,3.7,0.0,-24.3,-8.9,0.0,126.4,1.1
68,W-35,PB-BLANKET-42,120,10.6,100,Los Angeles,A,-7.0,-9.1,-6.6,15.2,0.0,126.1,0.0
69,W-34,PB-BLANKET-42,123,10.3,100,Los Angeles,A,-3.9,2.5,-3.7,-2.8,0.0,126.3,0.0
70,W-33,PB-BLANKET-42,124,10.1,100,Los Angeles,A,-2.2,0.8,0.5,-1.9,0.0,126.1,0.2
71,W-32,PB-BLANKET-42,128,13.7,100,Los Angeles,A,2.6,3.2,36.3,35.6,0.0,126.7,12.9
72,W-31,PB-BLANKET-42,122,13.4,100,Los Angeles,A,-1.4,-4.7,19.9,-2.2,0.0,125.9,6.6
73,W-30,PB-BLANKET-42,119,10.6,100,Los Angeles,A,-4.2,-2.5,-10.7,-20.9,0.0,124.0,0.0
74,W-29,PB-BLANKET-42,126,12.3,100,Los Angeles,A,2.2,5.9,2.9,16.0,0.0,123.1,1.6
75,W-28,PB-BLANKET-42,131,11.0,100,Los Angeles,A,5.9,4.0,-12.0,-10.6,0.0,124.7,1.8
76,W-27,PB-BLANKET-42,134,13.6,100,Los Angeles,A,7.6,2.3,15.0,23.6,0.0,126.3,7.3
77,W-26,PB-BLANKET-42,116,11.3,100,Los Angeles,A,-9.0,-13.4,-4.8,-16.9,0.0,125.1,0.0
78,W-25,PB-BLANKET-42,128,10.3,100,Los Angeles,A,1.0,10.3,-14.5,-8.8,0.0,125.1,0.3
79,W-24,PB-BLANKET-42,132,10.2,100,Los Angeles,A,3.7,3.1,-11.7,-1.0,0.0,126.6,1.1
80,W-23,PB-BLANKET-42,116,11.8,100,Los Angeles,A,-9.0,-12.1,4.0,15.7,0.0,126.1,1.3
81,W-22,PB-BLANKET-42,122,10.3,100,Los Angeles,A,-0.8,5.2,-5.5,-12.7,0.0,125.6,0.0
82,W-21,PB-BLANKET-42,125,11.9,100,Los Angeles,A,0.4,2.5,11.7,15.5,0.0,124.7,4.0
83,W-20,PB-BLANKET-42,127,13.5,100,Los Angeles,A,2.6,1.6,22.2,13.4,0.0,123.7,8.2
84,W-19,PB-BLANKET-42,115,11.0,100,Los Angeles,A,-6.1,-9.4,-7.4,-18.5,0.0,123.6,0.0
85,W-18,PB-BLANKET-42,116,10.1,100,Los Angeles,A,-5.1,0.9,-13.5,-8.2,0.0,121.9,0.0
86,W-17,PB-BLANKET-42,124,14.0,100,Los Angeles,A,2.7,6.9,20.4,38.6,0.0,120.7,7.6
87,W-16,PB-BLANKET-42,133,11.5,100,Los Angeles,A,10.4,7.3,-5.3,-17.9,0.0,123.1,3.1
88,W-15,PB-BLANKET-42,118,9.5,100,Los Angeles,A,-3.3,-11.3,-18.5,-17.4,0.0,122.6,0.0
89,W-14,PB-BLANKET-42,131,9.2,100,Los Angeles,A,6.7,11.0,-18.4,-3.2,0.0,123.4,2.0
90,W-13,PB-BLANKET-42,115,9.5,100,Los Angeles,A,-9.1,-12.2,-14.0,3.3,0.0,121.7,0.0
91,W-12,PB-BLANKET-42,125,12.1,100,Los Angeles,A,0.6,8.7,21.9,27.4,0.0,123.1,7.5
92,W-11,PB-BLANKET-42,121,13.0,100,Los Angeles,A,-1.0,-3.2,29.0,7.4,0.0,123.9,9.7
93,W-10,PB-BLANKET-42,128,11.1,100,Los Angeles,A,4.1,5.8,1.4,-14.6,0.0,124.4,1.7
94,W-9,PB-BLANKET-42,127,9.3,100,Los Angeles,A,3.9,-0.8,-18.6,-16.2,0.0,123.6,1.2
95,W-8,PB-BLANKET-42,131,10.9,100,Los Angeles,A,4.6,3.1,-4.2,17.2,0.0,125.4,1.4
96,W-7,PB-BLANKET-42,122,28.0,100,Los Angeles,A,-3.7,-6.9,152.8,156.9,0.0,124.1,50.0
97,W-6,PB-BLANKET-42,120,52.0,100,Los Angeles,A,-5.5,-1.6,250.8,85.7,0.0,124.9,50.0
98,W-5,PB-BLANKET-42,215,78.0,100,Los Angeles,A,72.0,79.2,211.4,50.0,0.0,137.7,71.6
99,W-4,PB-BLANKET-42,406,89.0,100,Los Angeles,A,176.2,88.8,110.8,14.1,0.0,178.4,66.9
100,W-3,PB-BLANKET-42,716,94.0,100,Los Angeles,A,231.9,76.4,52.2,5.6,0.0,262.4,47.4
101,W-2,PB-BLANKET-42,497,88.0,100,Los Angeles,A,36.4,-30.6,12.5,-6.4,0.0,315.3,15.1
102,W-1,PB-BLANKET-42,505,82.0,100,Los Angeles,A,10.1,1.6,-6.0,-6.8,0.0,368.7,3.0
103,W0,PB-BLANKET-42,382,76.0,100,Los Angeles,A,-28.1,-24.4,-13.9,-7.3,0.0,405.9,0.0
0,W-103,PB-PILLOW-71,69,22.0,100,New York,B,0.0,0.0,0.0,0.0,0.0,69.0,0.0
1,W-102,PB-PILLOW-71,70,20.5,100,New York,B,0.0,1.4,0.0,-6.8,0.0,69.5,0.0
2,W-101,PB-PILLOW-71,73,22.7,100,New York,B,0.0,4.3,0.0,10.7,0.0,70.7,0.0
3,W-100,PB-PILLOW-71,75,22.6,100,New York,B,0.0,2.7,0.0,-0.4,0.0,71.8,0.0
4,W-99,PB-PILLOW-71,73,19.6,100,New York,B,1.7,-2.7,-10.7,-13.3,0.0,72.0,0.5
5,W-98,PB-PILLOW-71,76,22.8,100,New York,B,4.5,4.1,6.8,16.3,0.0,72.7,3.6
6,W-97,PB-PILLOW-71,80,23.0,100,New York,B,7.7,5.3,4.9,0.9,0.0,73.7,3.9
7,W-96,PB-PILLOW-71,82,22.8,100,New York,B,7.9,2.5,3.6,-0.9,0.0,75.6,3.6
8,W-95,PB-PILLOW-71,74,22.1,100,New York,B,-4.8,-9.8,0.2,-3.1,0.0,76.1,0.1
9,W-94,PB-PILLOW-71,80,24.0,100,New York,B,2.6,8.1,5.8,8.6,0.0,77.1,2.7
10,W-93,PB-PILLOW-71,85,22.3,100,New York,B,7.6,6.2,-2.9,-7.1,0.0,78.6,2.3
11,W-92,PB-PILLOW-71,89,24.0,100,New York,B,10.9,4.7,5.3,7.6,0.0,80.9,5.0
12,W-91,PB-PILLOW-71,80,24.4,100,New York,B,-2.4,-10.1,5.6,1.7,0.0,81.4,1.9
13,W-90,PB-PILLOW-71,92,26.8,100,New York,B,10.2,15.0,13.2,9.8,0.0,83.1,7.5
14,W-89,PB-PILLOW-71,83,26.9,100,New York,B,-4.0,-9.8,10.4,0.4,0.0,83.3,3.5
15,W-88,PB-PILLOW-71,84,24.8,100,New York,B,-2.3,1.2,-2.8,-7.8,0.0,84.7,0.0
16,W-87,PB-PILLOW-71,88,26.2,100,New York,B,3.8,4.8,1.8,5.6,0.0,85.9,1.7
17,W-86,PB-PILLOW-71,96,25.3,100,New York,B,10.7,9.1,-3.3,-3.4,0.0,87.4,3.2
18,W-85,PB-PILLOW-71,98,28.6,100,New York,B,11.7,2.1,10.9,13.0,0.0,88.7,7.1
19,W-84,PB-PILLOW-71,95,28.8,100,New York,B,3.8,-3.1,9.8,0.7,0.0,90.9,4.4
20,W-83,PB-PILLOW-71,98,26.9,100,New York,B,4.0,3.2,-1.2,-6.6,0.0,91.7,1.2
21,W-82,PB-PILLOW-71,96,28.6,100,New York,B,-0.8,-2.0,4.4,6.3,0.0,93.6,1.5
22,W-81,PB-PILLOW-71,100,28.9,100,New York,B,3.4,4.2,2.4,1.0,0.0,95.9,1.8
23,W-80,PB-PILLOW-71,96,27.5,100,New York,B,-1.3,-4.0,-2.8,-4.8,0.0,97.0,0.0
24,W-79,PB-PILLOW-71,100,30.3,100,New York,B,2.6,4.2,8.3,10.2,0.0,97.6,3.5
25,W-78,PB-PILLOW-71,98,29.8,100,New York,B,0.0,-2.0,3.4,-1.7,0.0,97.6,1.1
26,W-77,PB-PILLOW-71,96,31.1,100,New York,B,-2.5,-2.0,6.8,4.4,0.0,97.7,2.3
27,W-76,PB-PILLOW-71,105,30.5,100,New York,B,7.7,9.4,2.8,-1.9,0.0,98.7,3.2
28,W-75,PB-PILLOW-71,105,28.8,100,New York,B,5.3,0.0,-5.3,-5.6,0.0,100.0,1.6
29,W-74,PB-PILLOW-71,109,30.5,100,New York,B,7.9,3.8,1.5,5.9,0.0,101.3,2.9
30,W-73,PB-PILLOW-71,97,29.6,100,New York,B,-6.5,-11.0,-2.1,-3.0,0.0,101.4,0.0
31,W-72,PB-PILLOW-71,105,33.6,100,New York,B,1.0,8.2,12.6,13.5,0.0,102.1,4.5
32,W-71,PB-PILLOW-71,102,33.8,100,New York,B,-1.9,-2.9,10.4,0.6,0.0,102.7,3.5
33,W-70,PB-PILLOW-71,106,34.0,100,New York,B,2.7,3.9,6.7,0.6,0.0,104.1,3.0
34,W-69,PB-PILLOW-71,105,32.3,100,New York,B,2.4,-0.9,-1.4,-5.0,0.0,104.1,0.7
35,W-68,PB-PILLOW-71,115,31.7,100,New York,B,10.0,9.5,-5.2,-1.9,0.0,105.6,3.0
36,W-67,PB-PILLOW-71,114,35.4,100,New York,B,6.5,-0.9,7.4,11.7,0.0,106.3,4.4
37,W-66,PB-PILLOW-71,116,36.0,100,New York,B,5.5,1.8,7.9,1.7,0.0,109.0,4.3
38,W-65,PB-PILLOW-71,120,33.0,100,New York,B,6.7,3.4,-2.5,-8.3,0.0,111.1,2.0
39,W-64,PB-PILLOW-71,114,34.9,100,New York,B,-1.9,-5.0,2.6,5.8,0.0,112.9,0.9
40,W-63,PB-PILLOW-71,115,33.7,100,New York,B,-0.9,0.9,-3.2,-3.4,0.0,114.1,0.0
41,W-62,PB-PILLOW-71,114,36.8,100,New York,B,-1.9,-0.9,7.0,9.2,0.0,115.4,2.3
42,W-61,PB-PILLOW-71,122,37.2,100,New York,B,5.4,7.0,7.5,1.1,0.0,116.4,4.1
43,W-60,PB-PILLOW-71,115,35.1,100,New York,B,-1.1,-5.7,-1.5,-5.6,0.0,116.6,0.0
44,W-59,PB-PILLOW-71,129,36.8,100,New York,B,10.7,12.2,3.1,4.8,0.0,118.4,4.2
45,W-58,PB-PILLOW-71,117,37.5,100,New York,B,-2.5,-9.3,2.8,1.9,0.0,118.0,0.9
46,W-57,PB-PILLOW-71,112,36.8,100,New York,B,-7.2,-4.3,0.4,-1.9,0.0,117.7,0.1
47,W-56,PB-PILLOW-71,126,39.6,100,New York,B,6.6,12.5,8.3,7.6,0.0,119.3,4.7
48,W-55,PB-PILLOW-71,120,38.2,100,New York,B,-0.8,-4.8,1.4,-3.5,0.0,120.1,0.5
49,W-54,PB-PILLOW-71,118,37.7,100,New York,B,-0.6,-1.7,-0.9,-1.3,0.0,119.6,0.0
50,W-53,PB-PILLOW-71,133,39.4,100,New York,B,11.8,12.7,3.5,4.5,0.0,122.1,4.7
51,W-52,PB-PILLOW-71,131,40.5,100,New York,B,5.4,-1.5,4.6,2.8,0.0,122.4,3.2
52,W-51,PB-PILLOW-71,119,38.8,100,New York,B,-5.2,-9.2,-0.4,-4.2,0.0,122.7,0.0
53,W-50,PB-PILLOW-71,132,39.6,100,New York,B,5.4,10.9,1.3,2.1,0.0,125.6,2.1
54,W-49,PB-PILLOW-71,132,42.7,100,New York,B,2.5,0.0,7.9,7.8,0.0,126.4,3.4
55,W-48,PB-PILLOW-71,137,41.8,100,New York,B,6.6,3.8,3.5,-2.1,0.0,128.9,3.1
56,W-47,PB-PILLOW-71,138,41.3,100,New York,B,6.2,0.7,1.4,-1.2,0.0,131.7,2.3
57,W-46,PB-PILLOW-71,135,42.0,100,New York,B,0.2,-2.2,1.6,1.7,0.0,132.0,0.6
58,W-45,PB-PILLOW-71,133,40.8,100,New York,B,-1.8,-1.5,-2.7,-2.9,0.0,132.3,0.0
59,W-44,PB-PILLOW-71,141,41.6,100,New York,B,3.9,6.0,0.3,2.0,0.0,135.4,1.3
60,W-43,PB-PILLOW-71,127,42.4,100,New York,B,-7.1,-9.9,2.4,1.9,0.0,134.7,0.8
61,W-42,PB-PILLOW-71,136,43.8,100,New York,B,1.5,7.1,5.0,3.3,0.0,135.3,2.1
62,W-41,PB-PILLOW-71,132,42.8,100,New York,B,-1.7,-2.9,1.5,-2.3,0.0,134.6,0.5
63,W-40,PB-PILLOW-71,130,43.1,100,New York,B,-3.0,-1.5,1.1,0.7,0.0,133.4,0.4
64,W-39,PB-PILLOW-71,131,42.9,100,New York,B,-0.2,0.8,-0.3,-0.5,0.0,132.9,0.0
65,W-38,PB-PILLOW-71,148,45.5,100,New York,B,11.9,13.0,5.4,6.1,0.0,135.0,5.4
66,W-37,PB-PILLOW-71,145,49.5,100,New York,B,7.2,-2.0,13.6,8.8,0.0,135.6,6.7
67,W-36,PB-PILLOW-71,155,57.6,100,New York,B,11.9,6.9,27.3,16.4,0.0,139.6,12.7
68,W-35,PB-PILLOW-71,168,62.3,100,New York,B,16.1,8.4,27.5,8.2,0.0,144.1,14.0
69,W-34,PB-PILLOW-71,158,63.3,100,New York,B,2.6,-6.0,17.8,1.6,0.0,147.9,6.7
70,W-33,PB-PILLOW-71,174,67.3,100,New York,B,11.2,10.1,15.7,6.3,0.0,154.1,8.6
71,W-32,PB-PILLOW-71,203,71.4,100,New York,B,24.0,16.7,14.0,6.1,0.0,164.4,11.9
72,W-31,PB-PILLOW-71,204,70.7,100,New York,B,16.1,0.5,7.0,-1.0,0.0,172.4,7.2
73,W-30,PB-PILLOW-71,215,70.4,100,New York,B,16.4,5.4,3.3,-0.4,0.0,182.4,6.0
74,W-29,PB-PILLOW-71,210,72.4,100,New York,B,5.5,-2.3,3.5,2.8,0.0,190.3,2.8
75,W-28,PB-PILLOW-71,213,68.7,100,New York,B,2.4,1.4,-3.5,-5.1,0.0,196.7,0.7
76,W-27,PB-PILLOW-71,212,65.0,100,New York,B,0.7,-0.5,-7.9,-5.4,0.0,204.4,0.2
77,W-26,PB-PILLOW-71,203,62.0,100,New York,B,-4.5,-4.2,-10.3,-4.6,0.0,208.6,0.0
78,W-25,PB-PILLOW-71,194,57.2,100,New York,B,-7.4,-4.4,-14.7,-7.7,0.0,207.3,0.0
79,W-24,PB-PILLOW-71,173,49.4,100,New York,B,-15.8,-10.8,-21.9,-13.6,0.0,202.9,0.0
80,W-23,PB-PILLOW-71,161,60.4,100,New York,B,-17.6,-6.9,3.4,22.3,0.0,195.1,1.1
81,W-22,PB-PILLOW-71,149,59.2,100,New York,B,-18.5,-7.5,3.4,-2.0,0.0,186.4,1.1
82,W-21,PB-PILLOW-71,194,56.8,100,New York,B,14.6,30.2,0.4,-4.1,0.0,183.7,4.5
83,W-20,PB-PILLOW-71,195,54.7,100,New York,B,15.2,0.5,-3.1,-3.7,0.0,181.3,4.6
84,W-19,PB-PILLOW-71,183,53.6,100,New York,B,4.7,-6.2,-7.2,-2.0,0.0,178.4,1.4
85,W-18,PB-PILLOW-71,176,51.2,100,New York,B,-2.4,-3.8,-8.7,-4.5,0.0,175.9,0.0
86,W-17,PB-PILLOW-71,156,50.5,100,New York,B,-16.6,-11.4,-6.6,-1.4,0.0,173.4,0.0
87,W-16,PB-PILLOW-71,147,45.0,100,New York,B,-17.2,-5.8,-14.3,-10.9,0.0,171.4,0.0
88,W-15,PB-PILLOW-71,158,44.3,100,New York,B,-4.5,7.5,-11.5,-1.6,0.0,172.7,0.0
89,W-14,PB-PILLOW-71,156,42.3,100,New York,B,-2.0,-1.3,-11.4,-4.5,0.0,167.3,0.0
90,W-13,PB-PILLOW-71,142,42.7,100,New York,B,-7.9,-9.0,-6.2,0.9,0.0,159.7,0.0
91,W-12,PB-PILLOW-71,143,38.6,100,New York,B,-5.1,0.7,-11.4,-9.6,0.0,154.0,0.0
92,W-11,PB-PILLOW-71,127,36.7,100,New York,B,-15.2,-11.2,-12.6,-4.9,0.0,147.0,0.0
93,W-10,PB-PILLOW-71,122,36.3,100,New York,B,-14.1,-3.9,-9.4,-1.1,0.0,142.1,0.0
94,W-9,PB-PILLOW-71,121,34.7,100,New York,B,-9.4,-0.8,-10.0,-4.4,0.0,138.4,0.0
95,W-8,PB-PILLOW-71,114,32.7,100,New York,B,-11.1,-5.8,-10.6,-5.8,0.0,132.1,0.0
96,W-7,PB-PILLOW-71,105,31.3,100,New York,B,-13.2,-7.9,-10.8,-4.3,0.0,124.9,0.0
97,W-6,PB-PILLOW-71,114,32.7,100,New York,B,-1.3,8.6,-3.1,4.5,0.0,120.9,0.0
98,W-5,PB-PILLOW-71,108,29.5,100,New York,B,-4.8,-5.3,-10.2,-9.8,0.0,115.9,0.0
99,W-4,PB-PILLOW-71,105,30.0,100,New York,B,-4.8,-2.8,-4.9,1.7,0.0,112.7,0.0
100,W-3,PB-PILLOW-71,101,27.6,100,New York,B,-6.5,-3.8,-10.6,-8.0,0.0,109.7,0.0
101,W-2,PB-PILLOW-71,103,24.5,100,New York,B,-3.7,2.0,-18.2,-11.2,0.0,107.1,0.0
102,W-1,PB-PILLOW-71,86,27.3,100,New York,B,-17.5,-16.5,-2.2,11.4,0.0,103.1,0.0
103,W0,PB-PILLOW-71,93,25.6,100,New York,B,-5.8,8.1,-6.4,-6.2,0.0,101.4,0.0
0,W-103,PB-BED-FRAME-33,36,14.8,79,Phoenix,C,0.0,0.0,0.0,0.0,0.0,36.0,0.0
1,W-102,PB-BED-FRAME-33,32,14.6,79,Phoenix,C,0.0,-11.1,0.0,-1.4,0.0,34.0,0.0
2,W-101,PB-BED-FRAME-33,36,14.2,81,Phoenix,C,0.0,12.5,0.0,-2.7,0.0,34.7,0.0
3,W-100,PB-BED-FRAME-33,34,10.8,91,Phoenix,C,0.0,-5.6,0.0,-23.9,0.0,34.5,0.0
4,W-99,PB-BED-FRAME-33,31,12.4,89,Phoenix,C,-10.1,-8.8,-8.8,14.8,7.9,33.8,3.2
5,W-98,PB-BED-FRAME-33,32,11.1,90,Phoenix,C,-3.8,3.2,-14.6,-10.5,5.9,33.5,2.4
6,W-97,PB-BED-FRAME-33,35,12.0,91,Phoenix,C,5.3,9.4,-1.0,8.1,3.7,33.7,3.1
7,W-96,PB-BED-FRAME-33,34,10.3,80,Phoenix,C,3.0,-2.9,-11.0,-14.2,-11.4,33.4,0.9
8,W-95,PB-BED-FRAME-33,33,11.9,80,Phoenix,C,0.0,-2.9,3.9,15.5,-8.6,33.6,1.3
9,W-94,PB-BED-FRAME-33,31,14.9,78,Phoenix,C,-7.5,-6.1,31.6,25.2,-8.5,32.9,10.5
10,W-93,PB-BED-FRAME-33,33,11.3,89,Phoenix,C,-0.8,6.5,-7.9,-24.2,8.2,32.7,3.3
11,W-92,PB-BED-FRAME-33,32,13.9,91,Phoenix,C,-2.3,-3.0,14.9,23.0,11.3,32.9,9.5
12,W-91,PB-BED-FRAME-33,34,12.3,83,Phoenix,C,5.4,6.2,-5.4,-11.5,-1.8,33.1,1.6
13,W-90,PB-BED-FRAME-33,35,12.1,86,Phoenix,C,7.7,2.9,-7.6,-1.6,0.9,33.1,2.7
